,id,date,party,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8
0,DE-0190001007,2017-10-24,DIE LINKE,0.013989613356243867,0.00593653813446574,0.0,0.0,0.0009653223740857757,0.07890915162531932,0.0005740235009074788,0.011877661400515166,0.0
1,DE-0190001008,2017-10-24,CDU/CSU,0.012549688144763704,0.000256743221865544,0.0,0.0,0.0,0.06111079691055527,0.0,0.03842612439168498,0.010548754406250627
2,DE-0190001010,2017-10-24,BÜNDNIS 90/DIE GRÜNEN,0.0,0.0,0.0,0.0,0.0,0.07693559571642491,0.0,0.03357371207095945,0.05015658229919477
3,DE-0190002005,2017-11-21,CDU/CSU,0.013032344228044083,0.008229588365737776,0.0008380364609164301,0.0,0.0,0.027046118880835184,0.0,0.050039590845748425,0.0
4,DE-0190002015,2017-11-21,AfD,0.0,0.11691908920327934,0.020624216880923092,0.0,0.0,0.0,0.004895580516612545,0.0024438123758228347,0.0
5,DE-0190002018,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.0037962341229744213,0.10290582992384256,0.0,0.0,0.0,0.028298575552190737,0.03125167227069312,0.0,0.004041534845642986
6,DE-0190002019,2017-11-21,CDU/CSU,0.0022421738131611375,0.1024902028981032,0.03745412708675109,0.0,0.0,0.007274978850306401,0.0,0.002991969692636378,0.0
7,DE-0190002026,2017-11-21,AfD,0.0,0.06066095889219917,0.04134579878822128,0.0,0.0,0.008501335393873375,0.007440853424450574,0.01744894734047015,0.03458452043537455
8,DE-0190002027,2017-11-21,FDP,0.010439019996609589,0.0764836678308843,0.026669299751257793,0.0,0.0,0.029020409066994282,0.0020325736322733923,0.004110910622759292,0.012239379353881748
9,DE-0190002028,2017-11-21,DIE LINKE,0.0,0.0816888239619448,0.00503233047585566,0.0,0.0,0.00022171825918893362,4.629463678553088e-05,0.010531646228170606,0.04901259158739891
10,DE-0190002029,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.003425347851527829,0.07097731293745373,0.019348338446677032,0.0,0.0028569546100379083,0.01854302352296066,0.003967979327846974,0.0,0.037236638027593784
11,DE-0190002033,2017-11-21,DIE LINKE,0.0,0.08745712915690387,0.011158023915751464,0.0,0.0,0.05671224671251113,0.013203130904678716,0.0,0.027325959079104928
12,DE-0190002036,2017-11-21,FDP,0.0032905057415748397,0.09164884416125448,0.001535129011074191,0.0029185524434538904,0.0016958700435183622,0.010427609424410868,0.002759453283664282,0.0007664995731058293,0.062031988825077204
13,DE-0190002037,2017-11-21,DIE LINKE,0.0,0.08273304530129812,0.008254894566866938,0.01048325405712866,0.009709658550409,0.00553916923119741,0.006636053188128145,0.0028788615643155634,0.009898307172312389
14,DE-0190002038,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.0,0.04740631430205443,0.008827243934302162,0.006443018367936982,0.0,0.053920077210547986,0.002124805369192893,0.0,0.0
15,DE-0190002043,2017-11-21,SPD,0.015021671522479808,0.08389310322153218,0.004927171368711524,0.003211769102919988,0.017674262686845674,0.02532404665112831,0.007675581522544922,0.0,0.0
16,DE-0190002045,2017-11-21,FDP,0.0,0.139206760975411,0.0,0.0,0.0011154055221616482,0.0008471362820369737,0.0,0.0,0.07111436791761237
17,DE-0190002046,2017-11-21,DIE LINKE,0.0026482909817252963,0.062355759122605006,0.019996611904886427,0.007267734877549434,0.002868537027975884,0.014385171075065574,0.00046245488709729124,0.007408023880199485,0.023526382374457415
18,DE-0190002047,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.0045749585161542275,0.043173153484667805,0.034611038708325104,0.0,0.0030787424399149666,0.010940433288587442,0.003430412811073589,0.0,0.0021344415405411717
19,DE-0190002053,2017-11-21,SPD,0.002034948550149472,0.07459693448828539,0.0,0.032473909844226975,0.013445141928625084,0.04304165722598027,0.005513751459193242,0.0,0.005495992637632068
20,DE-0190002054,2017-11-21,AfD,0.0,0.0872536328937308,0.007199397589700115,0.007938962237724405,0.0,0.00031273813692551266,0.004908056306029069,0.01138805536655905,0.05626432277514945
21,DE-0190002055,2017-11-21,FDP,0.0,0.12188662106944888,0.0,0.0,0.01193912260176965,0.009327839978014436,0.01429855972510893,0.0,0.008729218800005004
22,DE-0190002056,2017-11-21,DIE LINKE,0.0,0.07882074630162518,0.01055639624234916,0.006461019400804369,0.0,0.03616800436828867,0.0,0.010833224930242883,0.0
23,DE-0190002062,2017-11-21,SPD,0.02172345487045583,0.006850797124862402,0.009913332768727882,0.002839908625291877,0.0,0.009280739992313214,0.0,0.0,0.07279912584142562
24,DE-0190002063,2017-11-21,CDU/CSU,0.03282783644713102,0.0013643608708549236,0.011396043898800579,0.02779993411231805,0.00019112342660058455,0.012252767776829826,0.0003140414531456716,0.0,0.011175584612830853
25,DE-0190002065,2017-11-21,FDP,0.005210519470616543,0.004630210813993092,0.0007349983619828098,0.0008895949210909007,0.0015885819738531177,0.01966362343755385,0.0,0.0,0.0670962945744169
26,DE-0190002066,2017-11-21,DIE LINKE,0.006356772996241006,0.0,0.0,0.033968388873745745,0.0,0.036570686306830455,0.0,0.0,0.0379618231085454
27,DE-0190002068,2017-11-21,CDU/CSU,0.00978110286498444,0.0020289703662070765,0.002189205278965729,0.00795397575368488,0.0,0.007352762014973171,0.0,0.0,0.07349265072844642
28,DE-0190002072,2017-11-21,SPD,0.00972535234378609,0.004912260584320961,0.0004370220194244225,0.02146637599134745,0.0,0.02199226411046441,0.0,0.0,0.04043486539196903
