,id,date,party,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5
0,DE-0190001007,2017-10-24,DIE LINKE,0.012485768184801994,0.012427720893548875,0.012420644484912076,0.1104608211607503,0.012422511994449926,0.8397825332815367
1,DE-0190001008,2017-10-24,CDU/CSU,0.01208693432332311,0.012042047921761095,0.012023753785923748,0.46331719259696125,0.012026768929790566,0.4885033024422402
2,DE-0190001010,2017-10-24,BÜNDNIS 90/DIE GRÜNEN,0.01375570214898666,0.01366176513816688,0.013638810113750338,0.6472484598962344,0.013640779484752334,0.2980544832181094
3,DE-0190002005,2017-11-21,CDU/CSU,0.01680428056724682,0.016761606649108918,0.016738798376208276,0.30286590163578486,0.016739598928001614,0.6300898138436496
4,DE-0190002015,2017-11-21,AfD,0.013763027046625931,0.013740639023051057,0.06459120276030496,0.013818486314965562,0.013733210975593022,0.8803534338794595
5,DE-0190002018,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.014542832343204614,0.014513073978777494,0.014506029207396479,0.0146458978412355,0.01450674953332107,0.9272854170960649
6,DE-0190002019,2017-11-21,CDU/CSU,0.013728147407301263,0.01369673789772863,0.014179087024671954,0.013780479440388587,0.013690337494874132,0.9309252107350354
7,DE-0190002026,2017-11-21,AfD,0.012359673400461629,0.012321162593063609,0.012307205783545817,0.012410181166802946,0.012308537128596257,0.9382932399275298
8,DE-0190002027,2017-11-21,FDP,0.010387665032454014,0.010366909622806685,0.010361546335373416,0.010435686631571652,0.01036263931960418,0.9480855530581901
9,DE-0190002028,2017-11-21,DIE LINKE,0.014532702475668126,0.014515302927265994,0.01450640183645091,0.01458214829189634,0.014506933183739586,0.927356511284979
10,DE-0190002029,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.012981405827773644,0.012964177990368853,0.012952979514858376,0.013049733417770196,0.012953367155790908,0.935098336093438
11,DE-0190002033,2017-11-21,DIE LINKE,0.008999445021581854,0.008985573216498545,0.008976365766874337,0.009046790152888803,0.008977499918350533,0.9550143259238059
12,DE-0190002036,2017-11-21,FDP,0.01412569224068765,0.014099836426822105,0.014087979987248762,0.014215203228204543,0.014089580837063086,0.9293817072799739
13,DE-0190002037,2017-11-21,DIE LINKE,0.014186143533087085,0.014170846895222959,0.014164712891697755,0.014235895689855905,0.014192463122887107,0.9290499378672492
14,DE-0190002038,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.01220066990274075,0.012178013900993753,0.012172228241716147,0.012260992763894685,0.012173130161479076,0.9390149650291756
15,DE-0190002043,2017-11-21,SPD,0.011727023006719415,0.011691292829014304,0.011687087731237484,0.011872864481908144,0.011688192425863133,0.9413335395252576
16,DE-0190002045,2017-11-21,FDP,0.012284846836673443,0.012263144474129429,0.01225413366174266,0.012343664039490809,0.012254888777741873,0.9385993222102218
17,DE-0190002046,2017-11-21,DIE LINKE,0.011864733069208697,0.011847194634238887,0.011840931993026218,0.01190388111559459,0.011841723164257575,0.940701536023674
18,DE-0190002047,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.01591516896954313,0.01588476605186851,0.015880263484181728,0.015967213526271937,0.015880627409922222,0.9204719605582125
19,DE-0190002053,2017-11-21,SPD,0.010861238789010583,0.010829347653008204,0.01082191539202015,0.010921043083772756,0.01082502209613328,0.945741432986055
20,DE-0190002054,2017-11-21,AfD,0.012464506938934675,0.012439294613536765,0.012431218786172921,0.012512564306532314,0.012431996244887939,0.9377204191099354
21,DE-0190002055,2017-11-21,FDP,0.013437185348338576,0.013413215735975795,0.01340849596700234,0.013503872574824553,0.013409273098872593,0.9328279572749861
22,DE-0190002056,2017-11-21,DIE LINKE,0.012837509300055597,0.012792134578007682,0.012784682065012829,0.012893447362549652,0.012789102823525227,0.935903123870849
23,DE-0190002062,2017-11-21,SPD,0.013058617560703112,0.01285916333795925,0.01284889466034625,0.01724154619291423,0.012880600012213297,0.9311111782358639
24,DE-0190002063,2017-11-21,CDU/CSU,0.19072894012888225,0.012939815521955705,0.01288839499412026,0.013186019905803826,0.0128932711260477,0.7573635583231901
25,DE-0190002065,2017-11-21,FDP,0.017289569091608406,0.016542579033603087,0.016490091941530793,0.016609507581583347,0.016491464192559483,0.9165767881591149
26,DE-0190002066,2017-11-21,DIE LINKE,0.016209258592754197,0.014254384651808468,0.014092063075967727,0.014340061078693995,0.014096564704411878,0.9270076678963637
27,DE-0190002068,2017-11-21,CDU/CSU,0.01537380092934756,0.015310648482635995,0.015274678424626386,0.01568310792197832,0.015284079266024,0.9230736849753877
28,DE-0190002072,2017-11-21,SPD,0.013478030154001782,0.013435361540191287,0.013386286934092054,0.013658213332919994,0.013390520372569457,0.9326515876662255
29,DE-0190002073,2017-11-21,CDU/CSU,0.012336628090135719,0.012246049357984396,0.012234562155659816,0.012625721679729106,0.012235548199573128,0.9383214905169178
30,DE-0190002077,2017-11-21,SPD,0.3190520464931639,0.01224613626324606,0.012233401761064298,0.012393889429038298,0.012235018706610415,0.631839507346877
31,DE-0190002078,2017-11-21,AfD,0.18894312214092948,0.012301345632196118,0.012225901278024736,0.012381432679690345,0.012228376606493079,0.7619198216626663
32,DE-0190002079,2017-11-21,FDP,0.1594181341701129,0.01298845598867732,0.012975546735361651,0.013181874818650704,0.01297945180414501,0.7884565364830525
33,DE-0190002081,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.23526957741201732,0.012970642555167904,0.012957915897366277,0.013125919479247034,0.012965122688963205,0.7127108219672382
