id,date,party,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8
DE-0190001007,2017-10-24,DIE LINKE,0.0005397769893364735,0.07242818756245749,0.0005396835516045481,0.0005397349120504925,0.7239596175645714,0.18204062829259873,0.0188730709048979,0.0005396101823869854,0.0005396900400959518
DE-0190001008,2017-10-24,CDU/CSU,0.0005053448836221455,0.0005053533345664394,0.029021461206205267,0.0005054221244394191,0.9674407200182906,0.0005053515091625369,0.0005054670642142367,0.000505516097712959,0.0005053637617865268
DE-0190001010,2017-10-24,BÜNDNIS 90/DIE GRÜNEN,0.0005195716959059817,0.0005194204634455361,0.028012881229704963,0.0005194825860821014,0.9683504513201069,0.0005195270125288959,0.0005197178136492966,0.0005194840053018001,0.0005194638732744392
DE-0190002005,2017-11-21,CDU/CSU,0.000677882052288137,0.06993765757182646,0.000677890810493512,0.0006778302192045913,0.9253170599766058,0.0006778617707733905,0.0006779864537657006,0.0006778474867226671,0.0006779836583197455
DE-0190002015,2017-11-21,AfD,0.14844771955348188,0.7753116039554633,0.00047315556437848563,0.00047308654278060936,0.0004731310074698081,0.07340206769563168,0.00047300507374088046,0.00047307135254151506,0.00047315925451189253
DE-0190002018,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.0006178030113164932,0.6660771894765444,0.0006175981332107485,0.0006176577275260846,0.30803195562668256,0.0006177696572525768,0.0006176285980485639,0.0221847898309062,0.0006176079385124652
DE-0190002019,2017-11-21,CDU/CSU,0.290589315364641,0.585834605735428,0.0005532477174396726,0.0005529864621105665,0.12025743133011112,0.000553082016606807,0.0005531698238501713,0.0005530053121393089,0.0005531562376732577
DE-0190002026,2017-11-21,AfD,0.4265292739117453,0.19211351233091284,0.05292945901985442,0.00046136610004636307,0.03271530411328792,0.2938670451342163,0.0004615012107923339,0.0004612619875375956,0.00046127619160691425
DE-0190002027,2017-11-21,FDP,0.32500471989703944,0.4133808130189632,0.0003941995340839277,0.0003941724432441903,0.24375637159088845,0.000394282275970012,0.01588704174043972,0.0003941970180378201,0.00039420248133304863
DE-0190002028,2017-11-21,DIE LINKE,0.45933574677740957,0.32753266096497335,0.0005700916861184937,0.0005701088310344955,0.00057025309623244,0.2097109340268091,0.0005700943106360633,0.0005700561122582557,0.0005700541945282902
DE-0190002029,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.39853827349010695,0.399002932338855,0.0004919044640894985,0.0004919586413354023,0.12540631331875934,0.07459273670265554,0.000491983591761102,0.0004919058567982547,0.0004919915956389879
DE-0190002033,2017-11-21,DIE LINKE,0.4796144253224193,0.294854190422279,0.00022458030812456188,0.00022461049220815336,0.003542773260891398,0.22086561256601625,0.00022456736460941073,0.0002246129668178205,0.00022462729663402442
DE-0190002036,2017-11-21,FDP,0.1732445969162007,0.799905027453576,0.024138219923616734,0.00045207255103932976,0.000452027063242859,0.00045202433910924186,0.00045206985699971944,0.00045195682048674527,0.00045200507572872603
DE-0190002037,2017-11-21,DIE LINKE,0.5150581555625033,0.3877906340348174,0.0005030346401719172,0.0005031113601915003,0.00922536321590878,0.0854105343850321,0.00050309826031291,0.0005030244763586221,0.000503044064703402
DE-0190002038,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.5333215796683782,0.28506952890577986,0.0006211328870865535,0.0006211279151980766,0.1489591058312107,0.0006211391168667972,0.029544263198144443,0.0006210782474262776,0.0006210442299091778
DE-0190002043,2017-11-21,SPD,0.00029343198845594413,0.9976531189471328,0.00029331204179873705,0.00029336431673714216,0.0002933798777159402,0.00029332576871012527,0.00029337813325761323,0.00029330484204233677,0.0002933840841493893
DE-0190002045,2017-11-21,FDP,0.00045773605401690714,0.9963395195663308,0.0004575155743556825,0.0004575210704841999,0.0004575961024717222,0.00045757215704106196,0.0004575904715390699,0.0004574281842369493,0.0004575208195234505
DE-0190002046,2017-11-21,DIE LINKE,0.28496964256263624,0.5529066508404828,0.0005477079079417933,0.0005477114654823235,0.0005477469710317993,0.09227618711846039,0.0005476160035635005,0.06710902457615993,0.0005477125542411731
DE-0190002047,2017-11-21,BÜNDNIS 90/DIE GRÜNEN,0.5521904681217438,0.44422296156410945,0.0005123247003984312,0.0005123757969937676,0.0005123929100763136,0.0005124657564664646,0.0005122974211760995,0.0005123269055953289,0.0005123868234403343
DE-0190002053,2017-11-21,SPD,0.3124904236378309,0.42088904107440167,0.06127753713746832,0.09569057263580401,0.10000131661494231,0.00026350944826099016,0.008860656295130814,0.00026346258618321656,0.0002634805699777501
DE-0190002054,2017-11-21,AfD,0.3103492699950189,0.6502300775037333,0.0004691139070883751,0.036605812795786515,0.0004691233860942431,0.0004691844545648458,0.0004692224141548785,0.0004690698808173116,0.0004691256627415808
DE-0190002055,2017-11-21,FDP,0.03782021811214414,0.8157200505367549,0.0005729954863220621,0.0005730739986009138,0.1430214829883076,0.0005732187808353207,0.0005729260247062126,0.000572988510451295,0.0005730455618774985
DE-0190002056,2017-11-21,DIE LINKE,0.21538619660626881,0.5552032506587767,0.0004898647603432001,0.0004898340514388422,0.22647183946508181,0.0004897499992345339,0.0004897622456342993,0.0004897362275049369,0.0004897659857167489
DE-0190002062,2017-11-21,SPD,0.05552540625509677,0.0004164687353903738,0.3083014431960042,0.0004164094765829174,0.00041644452091635977,0.00041645396108471973,0.04030787151631517,0.0004164315650810915,0.5937830707735283
